,id,midi_unformatted,year,midi_query,midi,match_score
1011,2708,Pitt-Payne/Crab Apples.mid,1908.0,pittpayne-crab_apples,pittpayne-crab_apples__pittpayne.mid,74
1012,2735,Pitt-Payne/Crazy Blues.mid,1920.0,pittpayne-crazy_blues,pittpayne-crazy_blues__pittpayne.mid,74
1013,2750,Pitt-Payne/Crazy Rhythm.mid,1928.0,pittpayne-crazy_rhythm,pittpayne-crazy_rhythm__pittpayne.mid,75
1014,2792,Pitt-Payne/Critics' Blues  The.mid,1919.0,pittpayne-critics_blues__the,pittpayne-critics_blues_the__pittpayne.mid,77
1015,2802,Pitt-Payne/Cross The Great Divide.mid,1913.0,pittpayne-cross_the_great_divide,pittpayne-cross_the_great_divide__pittpayne.mid,81
1016,2803,Pitt-Payne/Cross The Mason Dixon Line.mid,1913.0,pittpayne-cross_the_mason_dixon_line,pittpayne-cross_the_masondixon_line__pittpayne.mid,81
1017,2821,Pitt-Payne/Cuban Cake Walk.mid,1901.0,pittpayne-cuban_cake_walk,pittpayne-cuban_cake_walk__pittpayne.mid,77
1018,2827,Pitt-Payne/Cubanola Glide  The .mid,1909.0,pittpayne-cubanola_glide__the_,pittpayne-cubanola_glide_the_song__pittpayne.mid,74
1019,2829,Pitt-Payne/Cubistic Rag.mid,1927.0,pittpayne-cubistic_rag,pittpayne-cubistic_rag__pittpayne.mid,75
1020,2833,Pitt-Payne/Cucumber Rag.mid,1910.0,pittpayne-cucumber_rag,pittpayne-cucumber_rag__pittpayne.mid,75
1021,2834,"Pitt-Payne/Cuddle Up A Little Closer, Lovey Mine.mid",1908.0,pittpayne-cuddle_up_a_little_closer_lovey_mine,pittpayne-cuddle_up_a_little_closer_lovey_mine__pittpayne.mid,86
1022,2836,Pitt-Payne/Cuddle Up Honey.mid,1911.0,pittpayne-cuddle_up_honey,pittpayne-cuddle_up_honey__pittpayne.mid,77
1023,2859,Pitt-Payne/Cute Little Wigglin' Dance  The.mid,1917.0,pittpayne-cute_little_wigglin_dance__the,pittpayne-cute_little_wigglin_dance_the__pittpayne.mid,83
1024,2861,Pitt-Payne/Cutter  The.mid,1909.0,pittpayne-cutter__the,pittpayne-cutter_the__pittpayne.mid,71
1025,2864,Pitt-Payne/Cuttin' Up.mid,1906.0,pittpayne-cuttin_up,pittpayne-cuttin_up__pittpayne.mid,72
1026,2912,Pitt-Payne/Daly's Reel.mid,1911.0,pittpayne-dalys_reel,pittpayne-dalys_reel__pittpayne.mid,73
1027,2917,Pitt-Payne/Dance And Grow Thin .mid,1917.0,pittpayne-dance_and_grow_thin_,pittpayne-dance_and_grow_thin_song__pittpayne.mid,76
1028,2936,Pitt-Payne/Dance They Call The Tres Bien  The.mid,1920.0,pittpayne-dance_they_call_the_tres_bien__the,pittpayne-dance_they_call_the_tres_bien_the__pittpayne.mid,84
1029,2960,Pitt-Payne/Dancing 'Round The U.S.A..mid,1915.0,pittpayne-dancing_round_the_u.s.a.,pittpayne-dancing_round_the_u.s.a.__pittpayne.mid,82
1030,2940,Pitt-Payne/Dancing At That Georgia Jubilee.mid,1915.0,pittpayne-dancing_at_that_georgia_jubilee,pittpayne-dancing_at_that_georgia_jubilee__pittpayne.mid,85
1031,2953,Pitt-Payne/Dancing Fool.mid,1922.0,pittpayne-dancing_fool,pittpayne-dancing_fool__pittpayne.mid,75
1032,2965,Pitt-Payne/Dancing The Jelly Roll.mid,1915.0,pittpayne-dancing_the_jelly_roll,pittpayne-dancing_the_jelly_roll__pittpayne.mid,81
1033,2967,Pitt-Payne/Dancing To The Sugar Tune.mid,1918.0,pittpayne-dancing_to_the_sugar_tune,pittpayne-dancing_to_the_sugar_tune__pittpayne.mid,82
1034,2973,Pitt-Payne/Dandelion.mid,1909.0,pittpayne-dandelion,pittpayne-dandelion__pittpayne.mid,72
1035,2979,Pitt-Payne/Dandy Dan.mid,1909.0,pittpayne-dandy_dan,pittpayne-dandy_dan__pittpayne.mid,72
1036,3085,Pitt-Payne/Dar's Rag Time In De Moon.mid,1898.0,pittpayne-dars_rag_time_in_de_moon,pittpayne-dars_rag_time_in_de_moon__pittpayne.mid,82
1037,3002,Pitt-Payne/Dardanella Blues  The.mid,1920.0,pittpayne-dardanella_blues__the,pittpayne-dardanella_blues_the__pittpayne.mid,79
1038,3001,Pitt-Payne/Dardanella.mid,1919.0,pittpayne-dardanella,pittpayne-dardanella__pittpayne.mid,73
1039,3012,Pitt-Payne/Dark Town Excitement.mid,1900.0,pittpayne-dark_town_excitement,pittpayne-dark_town_excitement__pittpayne.mid,80
1040,3018,Pitt-Payne/Darkey Todalo  The.mid,1910.0,pittpayne-darkey_todalo__the,pittpayne-darkey_todalo_the__pittpayne.mid,77
1041,3020,Pitt-Payne/Darkey's Delight  The.mid,1899.0,pittpayne-darkeys_delight__the,pittpayne-darkeys_delight_the__pittpayne.mid,78
1042,3022,Pitt-Payne/Darkey's Rendezvous  The.mid,1899.0,pittpayne-darkeys_rendezvous__the,pittpayne-darkeys_rendezvous_the__pittpayne.mid,80
1043,3023,Pitt-Payne/Darkey's Wedding March  The.mid,1912.0,pittpayne-darkeys_wedding_march__the,pittpayne-darkeys_wedding_march_the__pittpayne.mid,81
1044,3036,Pitt-Payne/Darkies Mardi Gras.mid,1906.0,pittpayne-darkies_mardi_gras,pittpayne-darkies_mardi_gras__pittpayne.mid,79
1045,3042,Pitt-Payne/Darkies Ragtime Ball  The.mid,1912.0,pittpayne-darkies_ragtime_ball__the,pittpayne-darkies_ragtime_ball_the__pittpayne.mid,81
