161;Blue Streak, A (Bargy) - Wilson.mid;161-wilson-blue_streak_a_bargy__wilson.mid
162;No One Could Do It Like My Father! - Wilson.mid;162-wilson-no_one_could_do_it_like_my_father__wilson.mid
163;Cleopha - Wilson.mid;163-wilson-cleopha__wilson.mid
164;Alabama Rag (Lamb) - Wilson.mid;164-wilson-alabama_rag_lamb__wilson.mid
165;Tain't Nobody's Bus'ness If I Do - Wilson.mid;165-wilson-taint_nobodys_busness_if_i_do__wilson.mid
166;Foot Warmer, The - Wilson.mid;166-wilson-foot_warmer_the__wilson.mid
167;Midnight Trot, The - Wilson.mid;167-wilson-midnight_trot_the__wilson.mid
168;Palm Leaf Rag - Wilson.mid;168-wilson-palm_leaf_rag__wilson.mid
169;She's My Girl from Anaconda - Wilson.mid;169-wilson-shes_my_girl_from_anaconda__wilson.mid
170;Junk Man Rag, The - Wilson.mid;170-wilson-junk_man_rag_the__wilson.mid
171;Whistling Rag, The - Wilson.mid;171-wilson-whistling_rag_the__wilson.mid
172;Crush Collision March, The - Wilson.mid;172-wilson-crush_collision_march_the__wilson.mid
173;Home Again Blues - Wilson.mid;173-wilson-home_again_blues__wilson.mid
174;Bounding Buck, The - Wilson.mid;174-wilson-bounding_buck_the__wilson.mid
175;Stoptime - Wilson.mid;175-wilson-stoptime__wilson.mid
176;Weeping Willow (Joplin) - Wilson.mid;176-wilson-weeping_willow_joplin__wilson.mid
177;Strenuous Life, The - Wilson.mid;177-wilson-strenuous_life_the__wilson.mid
178;Teasing Rag - Wilson.mid;178-wilson-teasing_rag__wilson.mid
179;Belle Of The Creoles - Wilson.mid;179-wilson-belle_of_the_creoles__wilson.mid
180;Cracked Ice Rag - Wilson.mid;180-wilson-cracked_ice_rag__wilson.mid
181;Blue Ribbon Rag (Aufderheide) - Wilson.mid;181-wilson-blue_ribbon_rag_aufderheide__wilson.mid
182;Eubie's Lucky Day - Wilson.mid;182-wilson-eubies_lucky_day__wilson.mid
183;Shy And Sly - Wilson.mid;183-wilson-shy_and_sly__wilson.mid
184;Is There Anything Else I Can Do For You - Wilson.mid;184-wilson-is_there_anything_else_i_can_do_for_you__wilson.mid
185;|Grand Sonata In Ragtime; Scott Joplin's Victory - Wilson.mid|;185-wilson-grand_sonata_in_ragtime_scott_joplins_victory__wilson.mid
186;Peacherine Rag - Wilson.mid;186-wilson-peacherine_rag__wilson.mid
187;Kismet Rag - Wilson.mid;187-wilson-kismet_rag__wilson.mid
188;Blue Moon (Kortlander & Roberts) - Wilson.mid;188-wilson-blue_moon_kortlander__roberts__wilson.mid
189;|Grand Sonata In Ragtime; Behemoth Two-Step - Wilson.mid|;189-wilson-grand_sonata_in_ragtime_behemoth_twostep__wilson.mid
190;Frisco Frazzle - Wilson.mid;190-wilson-frisco_frazzle__wilson.mid
191;Shootin' The Agate - Wilson.mid;191-wilson-shootin_the_agate__wilson.mid
192;Scott Joplin's Victory - Wilson.mid;192-wilson-scott_joplins_victory__wilson.mid
193;Pan-Am Rag - Wilson.mid;193-wilson-panam_rag__wilson.mid
194;Town Talk (Olson) - Wilson.mid;194-wilson-town_talk_olson__wilson.mid
195;Ragtime Mocking Bird - Wilson.mid;195-wilson-ragtime_mocking_bird__wilson.mid
196;Doctor Brown - Wilson.mid;196-wilson-doctor_brown__wilson.mid
197;Rag-Time Dance, The - 1902 - Wilson.mid;197-wilson-ragtime_dance_the____wilson.mid
198;Rag-Time Skedaddle, A - Wilson.mid;198-wilson-ragtime_skedaddle_a__wilson.mid
199;Sport Model Encore - Wilson.mid;199-wilson-sport_model_encore__wilson.mid
200;Snoring Sampson - Wilson.mid;200-wilson-snoring_sampson__wilson.mid
201;I May Be Crazy, But I Ain't No Fool - Wilson.mid;201-wilson-i_may_be_crazy_but_i_aint_no_fool__wilson.mid
202;Yellow Rose Rag (Waldo) - Wilson.mid;202-wilson-yellow_rose_rag_waldo__wilson.mid
203;I'm Certainly Living A Rag-Time Life - Wilson.mid;203-wilson-im_certainly_living_a_ragtime_life__wilson.mid
204;Opera House Rag - Wilson.mid;204-wilson-opera_house_rag__wilson.mid
205;Friday Night - Wilson.mid;205-wilson-friday_night__wilson.mid
206;Cakewalkin' Shoes - Wilson.mid;206-wilson-cakewalkin_shoes__wilson.mid
207;Toots - Wilson.mid;207-wilson-toots__wilson.mid
208;International Rag, The - Wilson.mid;208-wilson-international_rag_the__wilson.mid
209;Dumbell - Wilson.mid;209-wilson-dumbell__wilson.mid
210;Paragon Rag - Wilson.mid;210-wilson-paragon_rag__wilson.mid
